1289000 14657
1290000 -11081
1291000 -635
1292000 -4054
1293000 1498
1294000 -4931
1295000 -5967
1296000 -10715
1297000 -8330
1298000 -5172
1299000 -388
1300000 -1916
1301000 357
1302000 -1989
1303000 -3320
1304000 2664
1305000 -2281
1306000 3750
1307000 -6332
1308000 2900
1309000 -5244
1310000 7924
1311000 -7351
1312000 4469
1313000 -2752
1314000 2235
1315000 -5561
1316000 5646
1317000 -5360
1318000 7351
1319000 -4655
1320000 -4904
1321000 -7673
1322000 488
1323000 -7778
1324000 -4295
1325000 -10466
1326000 1786
1327000 -1398
1328000 8180
1329000 2975
1330000 -869
1331000 3062
1332000 9971
1333000 12051
1334000 -5657
1335000 -9477
1336000 -81
1337000 -4546
1338000 -806
1339000 -2366
1340000 1929
1341000 -973
1342000 5594
1343000 1180
1344000 6124
1345000 2762
1346000 682
1347000 -16
1348000 6366
1349000 10425
1350000 -3299
1351000 -4245
1352000 4669
1353000 2845
1354000 5842
1355000 -5165
1356000 2860
1357000 3582
1358000 -6563
1359000 -757
1360000 1538
1361000 10454
1362000 -3036
1363000 -322
1364000 -3810
1365000 4997
1366000 2384
1367000 -8473
1368000 3954
1369000 8614
1370000 5604
1371000 -1541
1372000 -3143
1373000 6344
1374000 815
1375000 -2873
1376000 -7396
1377000 -2752
1378000 3101
1379000 -12444
1380000 4631
1381000 4109
1382000 4291
1383000 -786
1384000 404
1385000 2117
1386000 -667
1387000 -4293
1388000 -9541
1389000 6496
1390000 -3095
1391000 -10953
1392000 1690
1393000 6301
1394000 -4311
1395000 -3082
1396000 -3347
1397000 8438
1398000 977
1399000 -8780
1400000 -1477
1401000 6521
1402000 -8652
1403000 791
1404000 -3211
1405000 5653
1406000 -1907
1407000 -736
1408000 -1508
1409000 9683
1410000 7580
1411000 1872
1412000 1359
1413000 9687
1414000 -2225
1415000 -4239
1416000 2409
1417000 665
1418000 301
1419000 -6904
1420000 -1657
1421000 2215
1422000 -14917
1423000 -10413
1424000 -3858
1425000 4255
1426000 -1587
1427000 3464
1428000 169
1429000 1433
1430000 4864
1431000 902
1432000 -1819
1433000 16
1434000 -6627
1435000 311
1436000 -2242
1437000 1752
1438000 5790
1439000 2743
1440000 -1426
1441000 -2438
1442000 -2090
1443000 -114
1444000 5053
1445000 5130
1446000 -3934
1447000 1889
1448000 -1222
1449000 -1905
1450000 -1826
1451000 2397
1452000 -20
1453000 1557
1454000 420
1455000 -2559
1456000 -12636
1457000 -7102
1458000 38
1459000 5415
1460000 9441
1461000 4110
1462000 -2616
1463000 -7067
1464000 -2330
1465000 404
1466000 3767
1467000 16035
1468000 -11828
1469000 11754
1470000 485
1471000 2062
1472000 2605
